salary,job_info,enterprise_attr,job_tags,job_url,enterprise_industry,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
30001-50000,"
                    工作职责： 主要工作目标： 完成公司核心 业务平台中深度学习、自然语言处理模块的技术选型，搭建，架构，开发。  工作职责：  1. 负责公司大规模深度学习，自我学习平台的选型，框架搭建，性能优化  2. 从事深度学习框架搭建，研发面向企业级应用的大规模深度学习处理平台；  3. 应用NLP、深度学习、机器学习等技术解决海量语音，UGC文本信息进行数据建模，推动业务发展；  4. 负责系统架构设计和优化，底层算法性能调优； 任职资格： 【基本技能的要求】 1. Linux 操作系统的熟练使用  2. C/C++/JAVA的编程开发能力  以下三个方向的人才均可, 硕士毕业以上,至少3年工作经验:  1、 熟悉各种深度神经网络模型，如DNN、CNN、RNN等，并掌握其相关的优化算法； 2、 对常用的深度学习开源软件，如Caffe、Kaldi、Theano、ConvNet等其中之一有成功实践经验，并对其实现代码有深入理解；  3、精通算法（数值优化、动态规划等）与常见数据结构（并查集、Trie、哈希表、堆等）；  4、能使用MPI、CUDA等快速实现业务算法  5、在深度学习并行化方面有一定研究，了解多种深度学习并行方式者优先  6、精通C/C++，熟悉Python / Perl / R 等脚本语言；熟悉hadoop、spark、storm等大数据分析平台，  7、具备机器学习，信息检索，数据挖掘，自然语言处理，人工智能，计算机视觉等领域之一的深入研究经验  8、计算机，模式识别相关专业硕士以上学历，985甚佳。  【有以下经验者优先】 1. 有大型音频网站和实时多媒体社交网站开发经验者优先  2. 百万级用户以上应用程序后台设计者优先
                ",其他,五险一金,http://www.chinahr.com/job/5366521268340999.html?searchplace=400,IT/互联网 ,101－300人,海天网络科技有限公司,180.0,1,全职,经验3年,本科,12-8更新,0.2290041446685791,上海,人工智能专家,www.chinahr.com
15000-25000,"
                    岗位职责： 基于我们已有的百万级用户基础上负责建立针对个人的自动化微额信用借贷风控模型 包括但不限于：信用评分模型、客户资信模型、信贷模型、授信决策模型、失联预测模型、监控预警模型、催收评分模型等。  任职要求： 1.金融、计算机、数学、统计学相关专业，硕士学历者优先； 2.了解风控模型及统计和建模背后原理； 3.具备良好的沟通能力和表达能力，可独立开展业务调研、数据分析、方案设计 4.熟练使用Python/R/SAS/SPSS等至少一种数据挖掘工具；
                ",其他,五险一金|绩效奖金|带薪年假|弹性工作|定期体检|员工旅游|节日福利,http://www.chinahr.com/job/5366559602084612.html?searchplace=400,金融 ,101－300人,意真(上海)金融信息服务有限公司,180.0,1,全职,经验3年,本科,12-8更新,0.22408390045166016,上海,风控建模,www.chinahr.com
15001-20000,"
                    岗位职责： 1、 负责公司系统的架构设计、研发工作； 2、 承担从业务向技术转换的桥梁作用； 3、 协助项目经理制定项目计划和控制项目进度； 4、 负责辅助并指导设计工作； 5、 负责组织技术研究和攻关工作； 6、 负责组织和管理公司内部的技术培训工作； 7、负责组织及带领公司内部员工研究与项目相关的新技术。 8、管理技术支撑团队并给项目、产品开发实施团队提供技术保障。 9、 理解系统的业务需求，制定系统的整体框架（包括：技术框架和业务框架） 10、 对系统框架相关技术和业务进行培训，指导开发人员开发。并解决系统开发、运行中出现的各种问题。  任职要求： 1、计算机本科以上学历，5年以上系统开发实施经验，架构设计不少于3年； 2、对Java面向对象软件结构有深入理解以及很强的应用能力 3、能够熟练应用JSP/Servlet/JavaScript等WEB开发技术，熟练掌握Spring、Struts和Hibernate等主流的开发框架 4、学习能力强，拥有优秀的逻辑思维能力 -自我管理能力强，有良好的时间意识 5、有较好的沟通交流能力 有以下技术能力者优先 6、有较好的算法开发能力，包括爬虫，数据挖掘项目 7、有Android, iOS, html 开发经验 
                ",其他,五险一金|绩效奖金|股票期权|弹性工作|定期体检|节日福利,http://www.chinahr.com/job/5366559645532676.html?searchplace=400,IT/互联网 ,101－300人,上海飨都实业有限公司,180.0,1,全职,经验3年,本科,12-8更新,0.22537708282470703,上海,系统架构师,www.chinahr.com
20001-30000,"
                    工作职责： 1) 完成公司数据需求，挖掘分析，数据分析工作，基于数据分析成果，为公司业务部门提供策略分析和业务优化建议，持续改进运营效果； 2) 完成各部门，各业务和不同产品的数据分析需求； 3) 完成深入专题分析，挖掘运营、业务的改进点； 4) 和各部门沟通协调需求并提出各种新的数据分析项目或方案； 5）搭建数据分析报表产品； 6）建立和管理数据分析团队，负责团队经营的效率和质量  任职要求： 1)计算机、统计学、数学等相关专业本科以上学历，3年以上数据分析工作经验； 2)具备优秀的逻辑分析和表达能力，有良好的分析报告撰写能力，业务分析岗或咨询行业工作经验者优先。 3)熟练使用 sql，各种 join，子查询，函数存储过程等，熟悉oracle/mysql/pgsql 中的一种.； 4)熟悉大规模数据挖掘、机器学习、自然语言处理、分布式计算中一项或多项技术。 
                ",其他,五险一金|带薪年假|弹性工作|定期体检|员工旅游|节日福利,http://www.chinahr.com/job/5366560527944708.html?searchplace=400,IT/互联网 ,101－300人,上海聚岳信息技术有限公司,180.0,1,全职,经验5年,本科,12-8更新,0.2179241180419922,上海,数据分析经理,www.chinahr.com
20001-30000,"
                    岗位职责： 1.负责大数据平台的架构设计，定义可扩展的、分布式的大数据计算架构； 2.完成各种面向业务目标的数据分析模型的定义和应用开发； 3.持续关注新的技术，从其中选择适合我们的技术并应用其改进我们的产品。 任职要求： 1.计算机相关专业本科以上学历； 2.5年以上的大数据产品开发与运营经验，熟悉主流的大数据产品和数据分析技术并具有相关项目经验，特别是对Hadoop、Hbase等有深入的研究； 3.熟悉数据仓库相关技术，丰富的数据挖掘、机器学习相关开发经验； 4.良好的沟通与表达能力，思路清晰，有强烈的责任心和创新意识，业务逻辑理解与分析能力强。 5.独立思考的能力，团队合作的精神，积极学习的态度。 
                ",其他,五险一金|商业保险|定期体检,http://www.chinahr.com/job/5367032191617797.html?searchplace=400,IT/互联网 ,101－300人,飞天联合(北京)系统技术有限公司,180.0,1,全职,经验5年,本科,12-8更新,0.24035882949829102,上海,大数据系统架构师,www.chinahr.com
30001-50000,"
                    岗位职责: 1. 参与公司医学数据标准化平台及医学知识库的设计和建立； 2. 对肿瘤临床数据及基因数据进行数据清理、整合及转换等数据预处理； 3. 利用自然语言处理技术及医学相关知识库，对非结构化的病例数据进行结构化处理； 4. 利用各种数据挖掘技术，对现有数据进行挖掘，建立肿瘤患者预后预测模型； 5. 根据肿瘤治疗相关指南、文献及肿瘤科研数据建立肿瘤规范化诊疗及临床路径模型； 6. 综合肿瘤治疗的疗效、安全性和卫生经济，为肿瘤患者提供个性化的方案建议； 7. 根据预后预测模型与保险公司配合设计保险产品。  岗位要求： 1. 数学、计算机、统计或生物医学相关专业，硕士/博士学历； 2. 熟悉各类分类模型与回归算法， 熟悉各类变量筛选与降维算法，自然语言处理及语义分析；  3. 三年以上医学或生物医学数据建模挖掘相关经验，精通生存分析； 4. 精通常用数据挖掘工具和数据库软件，至少精通一门程序语言； 5. 工作积极主动，抗压能力强；能够熟练阅读英文专业资料。
                ",其他,年终奖,http://www.chinahr.com/job/5367245859193091.html?searchplace=400,IT/互联网 ,101－300人,新屿信息科技(上海)有限公司,180.0,1,全职,经验3年,硕士,12-8更新,0.22200298309326172,上海,医学算法工程师,www.chinahr.com
15001-20000,"
                    职位描述（工作内容和主要职责）：  1、使用建模工具（SPSS、R）进行模型开发，包括数据准备、建模及数据分析、模型的选取与优化、模型验证等工作；  2、根据公司业务需求，对征信数据库进行数据分析、数据挖掘，数据可视化、形成数据产品；  3、对海量业务数据进行分析，深度挖掘用户行为特征，构建用户征信的指标体系。   职位要求：  1、统计、金融数学或计算机等相关专业研究生或以上学历， 1年数据统计分析、数据挖掘工作经验；  2、至少熟练运用一种数据统计分析软件，如SPSS、R等；熟练掌握一门数据库（Oracle或mysql）  3、有数学建模竞赛获奖优先。 
                ",其他,五险一金|节日福利|带薪年假|弹性工作|员工旅游|节日福利,http://www.chinahr.com/job/5367245981614596.html?searchplace=400,政府/非赢利机构/其他 ,101－300人,上海卫诚企业征信有限公司,180.0,1,全职,经验1年,硕士,12-8更新,0.18283390998840332,上海,数据分析师,www.chinahr.com
30000-60000,"
                    公司技术导向，团队崇尚工程师文化，既有来自于Facebook的CTO领军人物，也有充满潜力的技术极客，期待、同样年轻，优秀、热爱技术的你来加入！ 各种零食、不定期outing，固定活动日  工作职责：  1、对公司业务算法问题进行抽象和建模，并持续优化  2、 负责对互联网及移动互联网环境下的复杂问题进行数据建模并用数学方法解决； 3、 负责或参与公司社交产品因果的图片、视频、帖子等个性化推荐算法的研发工作；4、 熟练使用使用数据挖掘（分类/classification,聚类/clustering,协同过滤/collaborative filtering）的算法。  职位描述： 1. 参与数据中心平台的开发及维护 2. 设计开发灵活数据查询/高级数据挖掘/智能数据展现/科学智能评估等管理平台扩展系统 3. 完成各类数据业务抽象及模型化 4. 设计实现数据质量/实时监控等数据平台的业务系统 良好的责任心与推动力，快速定位问题并解决 任职要求： 本科（含）以上学历 5年以上相关工作经验 熟悉linux,至少熟练掌握一门编程语言, java或者python更佳  有大数据开发经验，熟悉主流的大数据产品和数据分析技术并具有相关项目经验，熟练掌握Hadoop/Hive/Hbase/Spark/flume/storm等 熟悉分布式系统基础设施中常用的技术，如缓存（Memcache、Redis）、消息中间件(Kafka等) 具有很强的分析问题和解决问题的能力，攻关疑难问题的强烈兴趣，善于学习 强烈的责任心和良好的团队合作精神，较好的沟通能力 
                ",其他,五险一金|弹性工作,http://www.chinahr.com/job/5367254944514565.html?searchplace=400,政府/非赢利机构/其他 ,101－300人,上海久振网络科技有限公司,180.0,1,全职,经验5年,本科,12-8更新,0.24059200286865234,上海,大数据架构师,www.chinahr.com
15001-20000,"
                    职位描述:1、基于跨境电商进口业务逻辑搭建全站数据分析架构，制定数据搜集、分析、应用、评估体系；2、对管理层和业务部门进行数据需求支持，挖掘分析主题，开展数据分析工作；3、基于数据分析成果，为管理层和业务部门提供商业策略分析和业务优化建议，持续改进运营效果；4、根据管理层安排，对专项问题进行量化分析，并编制专项分析报告 ；职位要求：1、至少2年数据挖掘、数据分析工作经验，有移动互联网产品和用户分析经验者优先；2、对数据分析有深刻的理解，了解数据分析的系统框架与理论模型，有产品、运营或产品运营经验者优先考虑；3、对数据敏感、逻辑思维强，精通数据分析工具，有统计学、经济学等相关背景者优先考虑；4、学习能力较强，具有团队合作精神，能够承担高压力高产出的工作;5、英语有出色的读写能力，有跨境电商进口行业工作背景优先；6、本科以上，数据统计等相关专业背景优先。 
                ",其他,五险一金|绩效奖金|话费补贴|带薪年假,http://www.chinahr.com/job/5367823492907520.html?searchplace=400,IT/互联网 ,101－300人,天聪企业管理(上海)有限公司,180.0,1,全职,经验3年,本科,12-8更新,0.21920394897460938,上海,数据分析师,www.chinahr.com
20001-30000,"
                    岗位职责：1.从事互联网广告系统后台服务开发2.从事互联网应用系统数据处理、数据挖掘开发工作  岗位要求： 1. 本科及以上学历， JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解2. 对用过的开源框架，能了解到它的原理和机制3. 熟悉 hadoop/Cassandra/storm/spark/redis等开源工具中的若干种4. 熟悉数据结构和算法5. 学习能力强，工作扎实进取，具备良好的表达和沟通能力以及团队合作精神6. 独立分析、解决问题的能力7. 热爱软件开发工作 
                ",其他,五险一金|绩效奖金|带薪年假|定期体检|员工旅游|节日福利,http://www.chinahr.com/job/5367259159363846.html?searchplace=400,广告/媒体/娱乐/出版 ,101－300人,上海传漾广告有限公司,180.0,1,全职,经验1年,本科,12-8更新,0.2410111427307129,上海,高级JAVA开发工程师,www.chinahr.com
8000-12000,"
                    岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责销售区域内销售活动的策划和执行，完成销售任务；5、管理维护客户关系以及客户间的长期战略合作计划。任职资格：1、大专及以上学历，市场营销等相关专业；条件优秀可适当放宽2、1-2年以上销售行业工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；6、有团队协作精神，善于挑战。工作时间：9:00-18:00
                ",民营/私企,餐饮补贴,http://www.chinahr.com/job/5270217806646020.html?searchplace=400,证券 ,101－300人,付融宝,180.0,1,全职,,高中,11-23更新,0.22449994087219238,上海 黄浦区,电话销售,www.chinahr.com
4000-6000,"
                    岗位职责：负责电话渠道的各项业务咨询、投诉等（例如：产品升级、充值收费等）；录入客户具体信息，维护客户资料和整理；能及时通过沟通，发现客户的需求及意见，并对信息进行记录、整理、汇报；完成领导交办的其他工作。任职要求：大专及以上学历，1年左右客服经验；普通话标准，表达流利，沟通顺畅，思维敏捷，逻辑性强；工作主动，执行力强，良好的团队合作精神。
                ",民营/私企,五险一金|股票期权|地处繁华商圈|优秀人才多|办公装备高档|领导易相处,http://www.chinahr.com/job/19789632379520.html?searchplace=400,数据服务 ,21－50人,上海裕维金融信息服务有限公司,180.0,1,全职,经验1年,大专,11-24更新,0.2481989860534668,上海 浦东新区,客服,www.chinahr.com
面议,"
                    1、针对各种行业展开数据分析，市场分析，行业预测，经济学计量分析，形成报告；2、负责组织收集各类市场情报及相关行业政策与信息；3、负责跟踪和研究国家宏观经济政策的走向；4、协助项目经理，整理资料，市场调查；任职要求:1、本科及以上学历，金融、经济、财务等相关专业；2、具有各产业、行业背景及管理、财务、金融等知识；3、具有较广的知识面，有扎实的经济方面基础知识；4、熟练掌握Office软件操作，掌握STATA，SPSS，R等统计软件者优先考虑；5、拥有CPA、CFA正式者优先考虑。
                ",民营/私企,绩效奖金|项目奖金|年终奖|股票期权|住房补贴|带薪年假|带薪病假|员工培训,http://www.chinahr.com/job/d497ae8462d570560deb6833j.html?searchplace=400,学术/科研 ,21－50人,亘亘信息科技（上海）有限公司,180.0,1,全职,经验应届生,本科,12-1更新,0.32236504554748535,上海市,研究员,www.chinahr.com
8000-15000,"
                    岗位职责：1.负责大数据产品的设计，预研，开发，部署和维护；2.指导团队进行大数据挖掘和分析平台的选型与搭建；3.指导团队进行大数据算法的研究和开发；4.配合业务部门，通过数据挖掘和分析找出现有业务的问题，并推动业务部门改进。任职要求：1.计算机，数学，统计或相关专业硕士及以上学历，3-5年以上数据科学相关工作经验；2.扎实的数据挖掘，机器学习基础，对其中一两种机器学习算法有过深入研究，对数据挖掘有相关实践经验；3.扎实的编程基础，熟练掌握至少一门编程语言Java/Python/C++/R等；4.优秀的逻辑思维和独立思考能力，对数据有敏锐的直觉；5.优秀的项目管理经验，能够发挥团队成员特长；6.具有良好的沟通能力，能够快速抓住问题的核心；7.对工作有很强的责任心，用于推动事情落地。以下条件为加分项：1.从事过数据挖掘或机器学习理论研究；2.有自然语言处理或文本挖掘经验；3.分布式平台搭建或使用经验Hadoop/Spark.
                ",民营/私企,五险一金|年终奖|带薪年假|节日福利|地处繁华商圈|优秀人才多|晋升空间大,http://www.chinahr.com/job/5225484993333764.html?searchplace=400,移动互联网 ,21－50人,飞榴（上海）信息科技有限公司,180.0,1,全职,经验3年,硕士,12-12更新,0.1363539695739746,上海 浦东新区,数据分析工程师,www.chinahr.com
8000-16000,"
                    岗位职责：1.根据测试经理以及高级测试工程师制定的测试需求进行功能测试用例的编写2.对发现的软件缺陷进行缺陷管理登记3.登记测试用例的执行情况4.测试作业执行完毕后提交测试报告5.协助开发人员验证已修复的问题并且督促开发及时完成已存在的缺陷任职要求：1. 专科或本科以上学历，软件工程、计算机科学技术，计算机管理工程等相关专业；2. 熟悉软件测试工作以及流程3. 1年以上相关测试技术工作经验4. 熟练使用办公自动化工具OFFICE等5. 具备良好的思考能力，问题分析能力，执行能力强并且具有团队合作精神
                ",民营/私企,绩效奖金|五险一金|带薪年假|餐饮补贴|员工培训|员工旅游|节日福利|办公室漂亮|优秀人才多|办公装备高档|晋升空间大|更多,http://www.chinahr.com/job/5363543709321733.html?searchplace=400,移动互联网 ,500人以上,上海珍岛信息技术有限公司,180.0,1,全职,经验3年,大专,12-8更新,0.20206999778747559,上海 虹口区,测试工程师,www.chinahr.com
8000-12000,"
                    岗位职责： 1、通过电话与客户进行有效沟通，了解客户需求, 寻找销售机会并完成业绩目标；2、对客户信息进行准确的判断和分级，并采取不同的策略和话术进行产品和服务的突破。3、完成老客户回访和维护工作，宣传公司现有活动及产品； 任职资格： 1、年龄20-35岁，普通话标准，表达能力优秀，有电销验者优先；2、对金融行业具有浓厚兴趣，对销售工作有激情和热情；3、良好的学习能力、服务意识、团队合作精神及沟通协调能力；4、具备服务意识，能够承受压力，愿意从事具有挑战性的工作 工作时间：早上9点到晚上18点
                ",民营/私企,餐饮补贴,http://www.chinahr.com/job/20024768839939.html?searchplace=400,证券 ,500人以上,中地控股,180.0,1,全职,,大专,昨天更新,0.23021697998046875,上海 黄浦区,投资顾问,www.chinahr.com
10000-20000,"
                    工作职责： 1、负责产品服务端接口自动化测试； 2、负责白盒测试工作，包括代码检查； 3、向开发者和测试人员提供提升工作效率与质量的相关工具、平台；4、推进项目中测试开发工作的有效实施，指导普通工程师的工作和技术成长。职位要求： 1、计算机相关专业本科及以上学历；2、3年以上开发或测试工作经验，有白盒测试经验； 3、熟悉Linux系统，MySql数据库, 以及TCP/IP, HTTP等网络协议；4、熟悉java/C或C++，熟悉shell/python/PHP/perl等一种脚本语言；5、熟悉测试流程和规范，了解功能测试，性能测试，接口测试和单元测试等测试方法； 6、很强的学习能力和技术钻研能力，良好的质量意识、沟通和团队合作能力；7、工作积极主动，执行力强，能够快速解决问题；
                ",民营/私企,五险一金|带薪病假|带薪年假|员工旅游|节日福利|下午茶充足|帅哥美女多|年终奖|绩效奖金|弹性工作|员工培训|晋升空间大|领导易相处|办公室漂亮|优秀人才多|更多,http://www.chinahr.com/job/5146095561804802.html?searchplace=400,移动互联网 ,51－100人,上海优雅广告有限公司,180.0,1,全职,经验3年,本科,12-19更新,0.16675400733947754,上海 闵行区,测试工程师,www.chinahr.com
10000-20000,"
                    岗位职责：1. 负责公司Windows App架构建设；2. 负责指导制定；审核Windows App技术管理制度和技术规程标准；3. 负责产品开发工作的计划、实施，确保技术的超前性、竞争性；4. 负责指导、处理、协调和解决公司项目中出现的技术问题；5. 保证项目的正常进行，确保公司项目计划按时完成。任职要求：1. 精通Windows App平台开发，为开发人员提供必要的技术指导；2. 五年以上团队管理经验，至少三个以上已上线项目经验；3. 了解.net/WP开发、为.net/wp开发提供框架指导5. 对产品市场有敏锐的洞察力，并具较强的创新能力和开发能力；6. 对数据结构.基本算法熟练掌握，并具备基本的算法设计能力；7. 具有较强的学习能力，积极上进，有较强的工作责任心和事业心；8. 具有开拓创新精神和品格。
                ",民营/私企,股票期权|五险一金|优秀人才多,http://www.chinahr.com/job/5281454377798404.html?searchplace=400,计算机软件 ,21－50人,上海秒酷信息科技有限公司,180.0,1,全职,经验5年,本科,今天更新,0.23738884925842285,上海 闵行区,Windows APP开发 负责人,www.chinahr.com
10000-20000,"
                    岗位职责：1、负责web应用系统的开发、架构搭建、站点性能优化；2、参与需求分析、架构设计，文档编写等系统实施过程。任职要求：1、计算机或电子信息相关专业本科以上学历2、5年以上.NET相关开发经验；3、熟练使用C#编程语言，熟悉.net技术框架, 能够掌握asp.net mvc,asp.net web api,entity framework框架；4、熟悉WCF，MSMQ，nServiceBus，RabbitMQ技术框架；5、对高并发、站点性能优化有定向研究或有实际应用；6、深入理解面向对象编程思想。积极实践重构、敏捷开发方法；7、基础扎实，熟悉常见数据结构和算法的应用；8、有一定的数据库设计经验；9、沟通力强，积极主动，具有良好的团队合作精神；10、有金融、电商行业经验的优先考虑。
                ",民营/私企,五险一金|交通补贴|餐饮补贴|弹性工作|节日福利|地处繁华商圈|优秀人才多|晋升空间大|领导易相处|带薪年假|年终奖|更多,http://www.chinahr.com/job/19690826763012.html?searchplace=400,计算机服务 ,51－100人,江西银通征信有限公司,180.0,1,全职,经验3年,本科,今天更新,0.2440040111541748,上海 浦东新区,.net高级研发工程师,www.chinahr.com
面议,"
                    部门：机构业务部一、招聘人员基本条件（一）列入国家211工程、重点财经类院校金融、经济、会计等经济管理类专业全日制本科及以上学历。（二）具有三年以上经济金融相关工作经验或相关行业工作经验者优先；（三）年龄35周岁以下，身体健康，无不良违法违纪行为；（四）具有较强的沟通协调、文字表达和团队协作能力，熟练应用办公软件。  二、岗位职责：负责研究分析机构金融领域政策动态、市场动态、行业动态，定期形成和发布研究成果；负责机构金融业务计划执行情况监测，开展机构客群交易结算行为的数据挖掘、统计分析、决策支持； 负责业务操作管理平台和内部流程操作，各类相关报表报送及数据分析；协助分行进行产品经理队伍建设、梳理。三、应聘条件：具有对市场、行业、政策较强的研究分析能力，熟悉城镇化金融领域相关融资业务，并具备一定的工作经验和影响力，有三年以上行业政策报告编写工作经验（研究机构从业人员优先）。四、应聘须知 （一）有意应聘者请于2017年1月31日前将以下资料发送至xingyezhaopin@cib.com.cn，简历及邮件请按“应聘岗位-姓名-工作地点”方式命名，邮件大小不超过1.5M。应聘材料包括：1、应聘申请表（请附照片，注明联系电话，格式详见附件；原则上每人只能应聘一个岗位）；2、各类证明材料，包括本科及最高学历、学位、专业资格证书、专业技术职称、身份证（正反面）、外语等级证书等扫描件；3、业绩材料，包括发表的论文或著作、成果证书、获奖证书等；4、近期全身数码生活照片一张。（二）经审查符合条件者，将另行通知笔试、面试时间。未被录用人员的材料恕不退还。（三）联系方式联系人：吴女士、莫女士，联系电话：0591-87839338转301758、301746（IP）。
                ",股份制,五险一金|商业保险|带薪年假,http://www.chinahr.com/job/5400910215285249.html?searchplace=400,,500人以上,兴业银行,180.0,1,全职,经验3年,本科,今天更新,0.21854686737060547,北京 海淀区,业务管理处业务管理岗（北京）,www.chinahr.com
8000-15000,"
                    岗位职责:1、提供公司提供的名单，开发新客户，提供产品介绍发掘客户的潜在需求；2、协助外部客户经理推动销售实施；3、负责市场信息的收集，分析，反馈与跟踪；任职资格：1. 大专以上学历，一年以上的电销经验 ，有B2B销售经验者优先。2. 良好的沟通技巧以及语言表达能力3. 良好的团队合作精神和沟通能力4. 良好的时间管理能力。5. 优秀的销售意识和电话沟通技巧。如果你热爱电话销售，请加入我们，电销行业的黄浦军校。完善的培训制度+无责任底薪+扁平式管理希望吸引优秀人才加入
                ",外商独资,绩效奖金|五险一金|带薪年假|定期体检|员工培训|下午茶充足|工作内容有趣|办公室漂亮|优秀人才多|办公装备高档|晋升空间大|领导易相处|豪华团建|帅哥美女多|单身多|更多,http://www.chinahr.com/job/19794952209412.html?searchplace=400,计算机软件 ,301－500人,智慧芽信息科技（苏州）有限公司,180.0,1,全职,经验1年,大专,8-25更新,0.31425905227661133,上海 闸北区,电话销售顾问,www.chinahr.com
10000-20000,"
                    职位描述：1）负责大数据管理平台的产品的规划、设计与产品；2）跟踪大数据应用市场动向，市场竞争对手分析，及时调整市场策略，创新产品应用；3）研究和规划商业应用产品的功能、服务及所需的业务流程，把握产品定人；　4）跟踪、分析、挖掘产品的客户需求，并能结合集团整体的业务规划，进行需求评估；5）制定产品的前期规划，撰写《产品需求文档》，配合研发进行需求分析；6）跟踪协调产品研发进度，把握产品质量，协调产品的交付；7）配合市场部门做好产品推广策划，为市场部提供技术支持；8）参与年度规划，制定产品的短期及长期发展规划，运营目标与策略，持续改善产品及功能任职要求：1、本科以上学历，数据挖掘、统计分析、应用数学、计算机等相关专业，3年以上数据分析经验，有大业务数据挖掘工作经验优先考虑；2、具备数理统计的基础知识，熟练掌握Office办公软件，Excel表格函数应用较熟；3、熟悉Hadoop、Spark等大数据平台；熟练使用Java、Scala、Python等编程语言；熟练运用MATLAB、R等算法编程语言；4、熟悉知识产权业务者优先录取5、沟通表达、文档能力强，极强的责任心和团队协作能力，具备敏锐的数据观察和分析能力。
                ",民营/私企,绩效奖金|五险一金|带薪年假|定期体检|工作内容有趣|优秀人才多|办公装备高档|办公室漂亮|地处繁华商圈|晋升空间大|领导易相处|豪华团建|帅哥美女多|员工培训|单身多|更多,http://www.chinahr.com/job/19781636516740.html?searchplace=400,咨询 ,51－100人,上海敬源知识产权服务有限公司,180.0,1,全职,经验1年,本科,8-25更新,0.2514839172363281,上海 闵行区,大数据分析师,www.chinahr.com
8000-15000,"
                    岗位职责：1、为公司信息系统软件项目实施过程提供数据库相关的技术支持，包括但不限于数据库搭建、维护、性能调优、开发建设等工作。 2、配合其他部门进行数据处理、查询、统计和分析工作；。3、协助处理部门日常工作和领导安排的其他工作。 任职要求：1、计算机相关专业，工作经验2年以上。2、思维严谨细腻，具较强的逻辑思维能 力； 3、具备良好的协调沟通能力；工作责任心强，具备团队精神；积极上进，能够承受压力、接受挑战；有较强的服务意识，较强的执行力；4、熟悉关系型 数据库原理，熟练掌握SQL查询语句，熟练编写存储过程、函数、触发器、视图等，具备基本数据分析工作技巧和较好排查数据库问题的能力；5、对数据库进行管理，进行定期备 份、和按需恢复，负责数据库应用系统的运营及监控； 6、对开发工程师的SQL语句进行审核，SQL优化，及时发现并处理高负载SQL。7、业务系统数据库的定期维护和异常处理； 8、对数据库性能分析与调优，排错，保证数据安全； 9、了解DBA基础知识，精通 Linux/Windows下数据库的安装、备份、恢复、集群、负载均衡； 10、熟练使用PostgreSql者优先。11、具有ERP、CRM、WMS或HRM经历者优先。12、有大型数据库管理经验者优先。
                ",股份制,年终奖|绩效奖金|五险一金|带薪年假|带薪病假|节日福利|帅哥美女多|单身多,http://www.chinahr.com/job/19803018226819.html?searchplace=400,计算机软件 ,21－50人,宝丽富互联网金融信息服务（上海）有限公司,180.0,1,全职,经验3年,本科,8-25更新,0.12852191925048828,上海 徐汇区,数据库工程师,www.chinahr.com
4000-6000,"
                    岗位职责：1.熟悉电商天猫平台促销活动流程.根据促销活动的产品需求选款.促销产品定价.确保公司毛利和促销效果的平衡.2.整理及汇总各运营平台及渠道的促销价格,参考竞品促销价格,协助运营提升促销效果.3.预估,分析产品促销的结果.及时反馈商品部经理,计划相关产品的补单或库存处理计划.4.上级领导交办的其他工作任职要求：1. 大专以上学历；2. 对数据敏感，熟悉各类数据分析方法及工具；3. 有较强的组织沟通能力，协调能力及灵活应变能力，良好的口头及书面表达能力；4. 性格开朗，责任心强，注意细节，善于分析、判断、应变及团队能力良好。
                ",民营/私企,年终奖|员工旅游|员工培训|绩效奖金|带薪病假|五险一金|下午茶充足|定期体检|晋升空间大,http://www.chinahr.com/job/19856481483520.html?searchplace=400,移动互联网 ,301－500人,广州青木信息科技有限公司上海第一分公司,180.0,1,全职,经验应届生,大专,8-30更新,0.22574687004089355,上海 徐汇区,商品助理,www.chinahr.com
